PPM,%Drag Reduction
0,0
0.628930818,4.258113207
1.509433962,7.861132074
2.51572327,11.21849056
3.58490566,14.33018868
4.65408805,17.03245283
6.163522013,19.65283019
7.86163522,21.86377358
9.371069182,23.99283019
11.57232704,25.87622642
13.96226415,27.75962264
16.47798742,28.98792453
18.80503145,30.21622642
21.63522013,31.28075472
24.1509434,32.09962264
26.85534591,32.75471698
29.74842767,33.49169811
33.08176101,34.14679245
36.35220126,34.47433962
39.11949686,34.88377358
41.3836478,35.29320755
44.21383648,35.53886793
46.91823899,35.7845283
50.12578616,36.19396226
52.57861635,36.43962264
55.1572327,36.43962264
57.2327044,36.68528302
59.68553459,36.9309434


