Viscosity (cSt),PPM,%Drag Reduction
11.40,16.2,28.2841
11.30,16.2,28.3247
9.30,17.5,30.9977
9.30,18.2,31.3202
9.47,16.9,30.3544
11.42,16.1,28.2262
11.52,16.2,28.2354
11.60,16.2,28.2029
11.72,16.3,28.2042
11.71,16.3,28.2082
77.85,16.2,21.4781
11.90,16.2,28.0812
9.50,23.4,32.6938
9.50,15.2,29.5200
9.50,17.6,30.6256
9.50,18.0,30.8175
9.50,18.2,30.9135
12.78,18.8,29.0749
12.20,16.3,28.0097
8.40,16.3,32.4440
8.40,16.4,32.4786
8.20,16.4,32.9197
8.14,16.3,33.0197
8.10,16.3,33.1083
8.00,16.3,33.3297
8.20,16.3,32.8869
7.50,16.2,34.4103
7.90,16.2,33.5210
